sample-id	Type	Area	Plant	Vector	PWN	PWN number	Vector number	Latitude	Annual average temperature	Annual average rainfall	Collection	Year	Month	Day	Gender_TR
AHPm1	PC	AH	PM	MA		12.7483058	8.017671951	30.57136152	16.7	1398.6	20180421	2018	4	21	
AHPm2	PC	AH	PM	MA		12.7483058	8.017671951	30.57136152	16.7	1398.6	20180421	2018	4	21	
AHPm3	PC	AH	PM	MA		12.7483058	8.017671951	30.57136152	16.7	1398.6	20180421	2018	4	21	
AHPm4	PC	AH	PM	MA		12.7483058	8.017671951	30.57136152	16.7	1398.6	20180421	2018	4	21	
AHPm5	PC	AH	PM	MA		12.7483058	8.017671951	30.57136152	16.7	1398.6	20180421	2018	4	21	
AHPm6	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20180421	2018	4	21	
AHPm7	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
AHPm8	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
AHPm9	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
AHPm10	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
AHPm11	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
AHPm12	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
AHPm13	PC	AH	PM	MA		2.723513491	43.44532336	30.57136152	16.7	1398.6	20190427	2019	4	27	
JSPm1	PC	JS	PM	MA		3.678306123	23.02203125	31.4314	15.8	1120.6	20180422	2018	4	22	
JSPm2	PC	JS	PM	MA		3.678306123	23.02203125	31.4314	15.8	1120.6	20180422	2018	4	22	
JSPm3	PC	JS	PM	MA		3.678306123	23.02203125	31.4314	15.8	1120.6	20180422	2018	4	22	
JSPm4	PC	JS	PM	MA		3.678306123	23.02203125	31.4314	15.8	1120.6	20180422	2018	4	22	
JSPm5	PC	JS	PM	MA		3.678306123	23.02203125	31.4314	15.8	1120.6	20180422	2018	4	22	
JSPm6	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm7	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm8	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm9	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm10	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm11	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm12	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
JSPm13	PC	JS	PM	MA		9.460973109	30.33105582	31.4314	15.8	1120.6	20190425	2019	4	25	
LNPk1	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk2	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk3	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk4	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk5	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
LNPk6	PC	LN	PK	MS		7.044863955	13.92213301	41.9527	6.1	795.3	20180402	2018	4	2	
